"idtipotitulo","nombre","nivel","minanios","maxanios","esuniversidad","modiuniversidad","compatible"
"CC","Ciclo Básico Común","G",1,3,0,0,"3"
"D","Doctorado","P",1,7,0,0,"4"
"F","Otros Posgrados","P",1,3,0,0,"4"
"G","Grado","G",4,7,0,0,"1"
"M","Maestría","P",1,4,0,0,"4"
"P","Otros Pregrados","E",1,4,0,0,"1"
"TI","Técnico Instrumental","E",1,4,0,0,"1"
"TINT","Título Intermedio","E",1,4,0,0,"2"
"PT","Postítulo","G",1,2,0,0,"1"
"CCC","Ciclo de Complementación Curricular","G",1,3,0,0,"1"
"CS","Ciclo Superior","G",2,4,0,0,"1"
"CT","Ciclo de Traductorado","G",1,3,0,0,"1"
"CL","Ciclo de Licenciatura","G",1,4,0,0,"1"
"I","Inicial","R",1,3,0,0,"5"
"PR","Primario","R",1,6,0,0,"5"
"SE","Secundario","R",1,5,0,0,"5"
"TNU","Superior No Universitario","R",1,4,0,0,"5"
"CP","Ciclo de Profesorado","G",1,4,0,0,"1"
"AC","Actividad","S",0,0,0,0,"0"
"E","Especialización","P",1,6,0,0,"4"
